artist,track_name,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,clusters_km,clusters_agg,clusters_ms
La Fine Equipe,Sucre d'orge,La boulangerie (Back Burners),0.169,0.861,0.575,0.000142,0.391,-6.255,0.0476,104.956,0.846,0,5,0
NEL,Don't Take Her From Me,Don't Take Her From Me,0.703,0.421,0.238,0.00444,0.103,-11.077,0.193,80.425,0.361,3,1,1
Nude,Lucid Love,Purple,0.0223,0.456,0.699,0.853,0.713,-9.168,0.0444,105.981,0.0522,6,4,5
Allen French,Nova Vida - Osmo Remix,Nova Vida (Osmo Remix),0.00308,0.725,0.828,0.488,0.0846,-7.056,0.0713,115.0,0.349,5,2,0
Snacks,All Night,All Night,0.147,0.908,0.513,0.169,0.0688,-10.104,0.242,140.893,0.896,4,0,0
Harry Nathan,Harriet Tubman?,Sweet Release,0.0124,0.882,0.546,0.731,0.0668,-10.402,0.128,119.971,0.666,5,2,0
Nate Brazier,Patterns,Patterns,0.0108,0.805,0.767,0.00464,0.14,-5.746,0.0812,135.04,0.434,0,5,0
Aaron Childs,Tangerine - Channel Tres Remix,Tangerine (Channel Tres Remix),0.0163,0.868,0.35,0.2,0.18,-9.547,0.101,114.999,0.366,3,1,0
L'Impératrice,Everything Eventually Ends,Everything Eventually Ends,0.361,0.865,0.484,9.53e-06,0.116,-9.321,0.177,95.016,0.849,4,1,0
SiR,Mood (feat. Zacari),Chasing Summer,0.0177,0.599,0.686,0.00105,0.0929,-5.951,0.0422,148.009,0.663,0,5,0
Billie Eilish,Six Feet Under - Jerry Folk Remix,Six Feet Under (The Remixes),0.66,0.447,0.216,0.011,0.139,-12.815,0.0508,134.868,0.0396,1,3,1
Cigarettes After Sex,Apocalypse,Cigarettes After Sex,0.0194,0.369,0.467,0.46,0.109,-9.018,0.0274,94.473,0.174,5,2,0
Mansionair,Empty Promise,"Happiness, Guaranteed",0.819,0.738,0.633,0.000101,0.124,-6.864,0.0308,114.01,0.329,3,1,0
Phantom IMC,True Gyalist,The Beginning,0.174,0.799,0.701,0.0,0.31,-4.845,0.262,83.068,0.686,4,0,0
Mo'kalamity,Darling,Warriors of light,0.0146,0.847,0.528,2.2e-06,0.0984,-7.609,0.149,76.046,0.659,0,5,0
SHY FX,Come Around Slowly,Come Around Slowly,0.00065,0.619,0.657,0.0,0.517,-5.379,0.0316,74.023,0.373,6,4,0
Romain Virgo,No Money,Romain Virgo,0.308,0.753,0.69,0.0,0.0865,-2.947,0.259,81.99,0.916,4,0,0
Niyorah,Positive Herb,A Different Age,0.343,0.867,0.619,0.0,0.0777,-6.397,0.265,92.024,0.759,4,0,0
Israel Vibration,Back Staba,Stamina,0.062,0.755,0.537,0.0,0.106,-6.651,0.29,73.618,0.885,4,0,0
Gregory Isaacs,Don't Play With Fire,Who's Gonna' Take You Home,0.777,0.741,0.245,0.677,0.136,-17.641,0.0667,166.72,0.621,1,3,1
Nattali Rize,Indestructible,Indestructible,0.265,0.845,0.681,0.0,0.0519,-4.693,0.111,86.001,0.654,0,5,0
Fantan Mojah,Good Meditation,Good Meditation,0.173,0.86,0.457,0.0,0.122,-5.465,0.39,129.443,0.635,4,0,0
